League,Home,Away,Date,Time,ID_Evento,IDMercado_Match_Odds,IDMercado_Correct_Score,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score?,IDMercado_Double_Chance,IDMercado_Half_Time,IDMercado_Half_Time_Score,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Asian_Handicap,IDMercado_Goal_Lines
Bahraini Premier,Bahrain SC,Al-Muharraq,2025-04-14,13:00:00,34216817,1.242322346,1.242322355,1.242322350,1.242322394,1.242322391,1.242322395,1.242322392,1.242322354,1.242322352,1.242322345,1.242322343,1.242322430,1.242322347,1.242322353,1.242322390,1.242322349,1.242322351,1.242322344,1.242322396,1.242322356
Estonian Esiliiga,Nomme Utd,Nomme Kalju II,2025-04-14,13:00:00,34216844,1.242329364,1.242329412,1.242329365,1.242329366,1.242329367,1.242329368,1.242329369,1.242329370,1.242329371,1.242329372,1.242329373,1.242329411,1.242329413,1.242329449,1.242329450,1.242329374,1.242329375,1.242329376,1.242329377,1.242329415
Georgian Umaglesi Liga,FC Telavi,Gagra,2025-04-14,13:00:00,34216657,1.242318470,1.242318479,1.242318474,1.242318518,1.242318515,1.242318519,1.242318516,1.242318478,1.242318476,1.242318469,1.242318467,1.242318554,1.242318471,1.242318477,1.242318514,1.242318473,1.242318475,1.242318468,1.242318520,1.242318480
Serbian First League,FK Dubocica,FK Sloboda Point,2025-04-14,13:00:00,34216934,1.242346272,1.242346281,1.242346276,1.242346320,1.242346317,1.242346321,1.242346318,1.242346280,1.242346278,1.242346271,1.242346269,1.242346356,1.242346273,1.242346279,1.242346316,1.242346275,1.242346277,1.242346270,1.242346322,1.242346282
Serbian Super League,Zeleznicar Pancevo,FK Jedinstvo Ub,2025-04-14,13:00:00,34215477,1.242300708,1.242300717,1.242300712,1.242300756,1.242300753,1.242300757,1.242300754,1.242300716,1.242300714,1.242300707,1.242300705,1.242300792,1.242300709,1.242300715,1.242300752,1.242300711,1.242300713,1.242300706,1.242300758,1.242300718
Saudi 1st Division,Al Jabalain,Al Jubail,2025-04-14,13:15:00,34216797,1.242342791,1.242342793,,1.242342792,1.242342787,1.242342795,1.242342796,1.242342788,,,,,,,,1.242342794,1.242342786,1.242342790,,
Israeli Premier League,Hapoel Beer Sheva,Beitar Jerusalem,2025-04-14,13:45:00,34200115,1.242066964,1.242066973,1.242066968,1.242067012,1.242067009,1.242067013,1.242067010,1.242066972,1.242066970,1.242066963,1.242066961,1.242067048,1.242066965,1.242066971,1.242067008,1.242066967,1.242066969,1.242066962,1.242067014,1.242066974
Argentinian Primera B Nacional,Arsenal de Sarandi,Patronato,2025-04-14,14:00:00,34200234,1.242085638,1.242085647,1.242085642,1.242085686,1.242085683,1.242085687,1.242085684,1.242085646,1.242085644,1.242085637,1.242085635,1.242085722,1.242085639,1.242085645,1.242085682,1.242085641,1.242085643,1.242085636,1.242085688,1.242085648
Bulgarian A League,Hebar,Ludogorets,2025-04-14,14:00:00,34202139,1.242099328,1.242099337,1.242099332,1.242099376,1.242099373,1.242099377,1.242099374,1.242099336,1.242099334,1.242099327,1.242099325,1.242099412,1.242099329,1.242099335,1.242099372,1.242099331,1.242099333,1.242099326,1.242099378,1.242099338
Danish Superliga,SonderjyskE,Vejle,2025-04-14,14:00:00,34198793,1.242049552,1.242049561,1.242049556,1.242049600,1.242049597,1.242049601,1.242049598,1.242049560,1.242049558,1.242049551,1.242049549,1.242049636,1.242049553,1.242049559,1.242049596,1.242049555,1.242049557,1.242049550,1.242049602,1.242049562
Polish Ekstraklasa,Lechia Gdansk,Stal Mielec,2025-04-14,14:00:00,34192511,1.241923564,1.241923573,1.241923568,1.241923612,1.241923609,1.241923613,1.241923610,1.241923572,1.241923570,1.241923563,1.241923561,1.241923648,1.241923565,1.241923571,1.241923608,1.241923567,1.241923569,1.241923562,1.241923614,1.241923574
Polish I Liga,GKS Tychy,Stal Rzeszow,2025-04-14,14:00:00,34208509,1.242188338,1.242188347,1.242188342,1.242188386,1.242188383,1.242188387,1.242188384,1.242188346,1.242188344,1.242188337,1.242188335,1.242188422,1.242188339,1.242188345,1.242188382,1.242188341,1.242188343,1.242188336,1.242188388,1.242188348
Polish I Liga,Nieciecza,Polonia Warszawa,2025-04-14,14:00:00,34208508,1.242190223,1.242190232,1.242190227,1.242190271,1.242190268,1.242190272,1.242190269,1.242190231,1.242190229,1.242190222,1.242190220,1.242190307,1.242190224,1.242190230,1.242190267,1.242190226,1.242190228,1.242190221,1.242190273,1.242190233
Swedish Allsvenskan,Halmstads,Osters,2025-04-14,14:00:00,34198581,1.242044907,1.242044916,1.242044911,1.242044955,1.242044952,1.242044956,1.242044953,1.242044915,1.242044913,1.242044906,1.242044904,1.242044991,1.242044908,1.242044914,1.242044951,1.242044910,1.242044912,1.242044905,1.242044957,1.242044917
Swedish Superettan,Vasteras SK,Falkenbergs,2025-04-14,14:00:00,34203876,1.242133682,1.242133691,1.242133686,1.242133730,1.242133727,1.242133731,1.242133728,1.242133690,1.242133688,1.242133681,1.242133679,1.242133766,1.242133683,1.242133689,1.242133726,1.242133685,1.242133687,1.242133680,1.242133732,1.242133692
Turkish 1 Lig,Adanaspor,Erzurum BB,2025-04-14,14:00:00,34208626,1.242201660,1.242201669,1.242201664,1.242201708,1.242201705,1.242201709,1.242201706,1.242201668,1.242201666,1.242201659,1.242201657,1.242201744,1.242201661,1.242201667,1.242201704,1.242201663,1.242201665,1.242201658,1.242201710,1.242201670
Turkish Super League,Eyupspor,Adana Demirspor,2025-04-14,14:00:00,34199714,1.242062005,1.242062014,1.242062009,1.242062019,1.242062015,1.242061961,1.242062016,1.242062013,1.242062011,1.242062001,1.242062002,1.242062004,1.242061996,1.242062012,1.242062017,1.242062008,1.242062010,1.242062003,1.242061962,1.242061927
Algerian Ligue 1,CS Constantine,MC Oran,2025-04-14,14:00:00,34216803,1.242322618,1.242322627,1.242322622,1.242322666,1.242322663,1.242322667,1.242322664,1.242322626,1.242322624,1.242322617,1.242322615,1.242322702,1.242322619,1.242322625,1.242322662,1.242322621,1.242322623,1.242322616,1.242322668,1.242322628
English Premier League 2 - Div 1,West Brom U21,Arsenal U21,2025-04-14,14:00:00,34216913,1.242324661,1.242324670,1.242324665,1.242324709,1.242324706,1.242324710,1.242324707,1.242324669,1.242324667,1.242324660,1.242324658,1.242324745,1.242324662,1.242324668,1.242324705,1.242324664,1.242324666,1.242324659,1.242324711,1.242324671
Georgian Umaglesi Liga,Dinamo Batumi,Samgurali Tskaltubo,2025-04-14,14:00:00,34216655,1.242318651,1.242318660,1.242318655,1.242318699,1.242318696,1.242318700,1.242318697,1.242318659,1.242318657,1.242318650,1.242318648,1.242318735,1.242318652,1.242318658,1.242318695,1.242318654,1.242318656,1.242318649,1.242318701,1.242318661
Moroccan Botola Pro 1,Moghreb Tetouan,IRT Tanger,2025-04-14,14:00:00,34216775,1.242322708,1.242322717,1.242322712,1.242322756,1.242322753,1.242322757,1.242322754,1.242322716,1.242322714,1.242322707,1.242322705,1.242322792,1.242322709,1.242322715,1.242322752,1.242322711,1.242322713,1.242322706,1.242322758,1.242322718
Swedish Women's Matches,Hammarby (W),Rosengard (W),2025-04-14,14:00:00,34216716,1.242318744,1.242318753,1.242318748,1.242318792,1.242318789,1.242318793,1.242318790,1.242318752,1.242318750,1.242318743,1.242318741,1.242318828,1.242318745,1.242318751,1.242318788,1.242318747,1.242318749,1.242318742,1.242318794,1.242318754
Swedish Allsvenskan,AIK,Malmo FF,2025-04-14,14:10:00,34198582,1.242044811,1.242044820,1.242044815,1.242044859,1.242044856,1.242044860,1.242044857,1.242044819,1.242044817,1.242044810,1.242044808,1.242044895,1.242044812,1.242044818,1.242044855,1.242044814,1.242044816,1.242044809,1.242044861,1.242044821
Israeli Premier League,Maccabi Tel Aviv,Maccabi Haifa,2025-04-14,14:30:00,34200116,1.242066874,1.242066883,1.242066878,1.242066922,1.242066919,1.242066923,1.242066920,1.242066882,1.242066880,1.242066873,1.242066871,1.242066958,1.242066875,1.242066881,1.242066918,1.242066877,1.242066879,1.242066872,1.242066924,1.242066884
Romanian Liga I,CFR Cluj,Rapid Bucharest,2025-04-14,14:30:00,34203836,1.242133862,1.242133871,1.242133866,1.242133910,1.242133907,1.242133911,1.242133908,1.242133870,1.242133868,1.242133861,1.242133859,1.242133946,1.242133863,1.242133869,1.242133906,1.242133865,1.242133867,1.242133860,1.242133912,1.242133872
Saudi 1st Division,Jeddah Club,Al Najma Club,2025-04-14,14:45:00,34216798,1.242342802,1.242342804,,1.242342803,1.242342798,1.242342806,1.242342807,1.242342799,,,,,,,,1.242342805,1.242342797,1.242342801,,
Dutch Eerste Divisie,Jong PSV Eindhoven,MVV Maastricht,2025-04-14,15:00:00,34198557,1.242043993,1.242044002,1.242043997,1.242044041,1.242044038,1.242044042,1.242044039,1.242044001,1.242043999,1.242043992,1.242043990,1.242044077,1.242043994,1.242044000,1.242044037,1.242043996,1.242043998,1.242043991,1.242044043,1.242044003
Dutch Eerste Divisie,Jong AZ Alkmaar,FC Volendam,2025-04-14,15:00:00,34198533,1.242044173,1.242044182,1.242044177,1.242044221,1.242044218,1.242044222,1.242044219,1.242044181,1.242044179,1.242044172,1.242044170,1.242044257,1.242044174,1.242044180,1.242044217,1.242044176,1.242044178,1.242044171,1.242044223,1.242044183
Dutch Eerste Divisie,Jong Ajax Amsterdam,Vitesse Arnhem,2025-04-14,15:00:00,34198599,1.242043903,1.242043912,1.242043907,1.242043951,1.242043948,1.242043952,1.242043949,1.242043911,1.242043909,1.242043902,1.242043900,1.242043987,1.242043904,1.242043910,1.242043947,1.242043906,1.242043908,1.242043901,1.242043953,1.242043913
English Premier League 2 - Div 1,Crystal Palace U21,Chelsea U21,2025-04-14,15:00:00,34216923,1.242324211,1.242324220,1.242324215,1.242324259,1.242324256,1.242324260,1.242324257,1.242324219,1.242324217,1.242324210,1.242324208,1.242324295,1.242324212,1.242324218,1.242324255,1.242324214,1.242324216,1.242324209,1.242324261,1.242324221
English Premier League 2 - Div 1,Man City U21,Newcastle U21,2025-04-14,15:00:00,34216920,1.242324301,1.242324310,1.242324305,1.242324349,1.242324346,1.242324350,1.242324347,1.242324309,1.242324307,1.242324300,1.242324298,1.242324385,1.242324302,1.242324308,1.242324345,1.242324304,1.242324306,1.242324299,1.242324351,1.242324311
English Premier League 2 - Div 1,Blackburn U21,Fulham U21,2025-04-14,15:00:00,34216926,1.242323825,1.242323834,1.242323829,1.242323873,1.242323870,1.242323874,1.242323871,1.242323833,1.242323831,1.242323824,1.242323822,1.242323909,1.242323826,1.242323832,1.242323869,1.242323828,1.242323830,1.242323823,1.242323875,1.242323835
English Premier League 2 - Div 1,Wolves U21,Man Utd U21,2025-04-14,15:00:00,34216915,1.242324571,1.242324580,1.242324575,1.242324619,1.242324616,1.242324620,1.242324617,1.242324579,1.242324577,1.242324570,1.242324568,1.242324655,1.242324572,1.242324578,1.242324615,1.242324574,1.242324576,1.242324569,1.242324621,1.242324581
English Premier League 2 - Div 1,Reading U21,Brighton U21,2025-04-14,15:00:00,34216916,1.242324481,1.242324490,1.242324485,1.242324529,1.242324526,1.242324530,1.242324527,1.242324489,1.242324487,1.242324480,1.242324478,1.242324565,1.242324482,1.242324488,1.242324525,1.242324484,1.242324486,1.242324479,1.242324531,1.242324491
English Premier League 2 - Div 1,Tottenham U21,Everton U21,2025-04-14,15:00:00,34216917,1.242324391,1.242324400,1.242324395,1.242324439,1.242324436,1.242324440,1.242324437,1.242324399,1.242324397,1.242324390,1.242324388,1.242324475,1.242324392,1.242324398,1.242324435,1.242324394,1.242324396,1.242324389,1.242324441,1.242324401
English U21 Pro Development League,Brentford U21,Sheff Wed U21,2025-04-14,15:00:00,34216928,1.242323645,1.242323654,1.242323649,1.242323693,1.242323690,1.242323694,1.242323691,1.242323653,1.242323651,1.242323644,1.242323642,1.242323729,1.242323646,1.242323652,1.242323689,1.242323648,1.242323650,1.242323643,1.242323695,1.242323655
English U21 Pro Development League,Swansea U21,Hull City U21,2025-04-14,15:00:00,34216929,1.242323553,1.242323562,1.242323557,1.242323601,1.242323598,1.242323602,1.242323599,1.242323561,1.242323559,1.242323552,1.242323550,1.242323637,1.242323554,1.242323560,1.242323597,1.242323556,1.242323558,1.242323551,1.242323603,1.242323563
Hungarian NB II,Honved,Gyirmot,2025-04-14,15:00:00,34216859,1.242346090,1.242346099,1.242346094,1.242346138,1.242346135,1.242346139,1.242346136,1.242346098,1.242346096,1.242346089,1.242346087,1.242346174,1.242346091,1.242346097,1.242346134,1.242346093,1.242346095,1.242346088,1.242346140,1.242346100
Argentinian Primera Division,Aldosivi,Racing Club,2025-04-14,15:30:00,34178393,1.241716056,1.241716065,1.241716060,1.241716070,1.241716066,1.241716012,1.241716067,1.241716064,1.241716062,1.241716052,1.241716053,1.241716055,1.241716047,1.241716063,1.241716068,1.241716059,1.241716061,1.241716054,1.241716013,1.241715978
Italian Serie C,Crotone,Foggia,2025-04-14,15:30:00,34207396,1.242166211,1.242166259,1.242166212,1.242166213,1.242166214,1.242166215,1.242166216,1.242166217,1.242166218,1.242166219,1.242166220,1.242166258,1.242166260,1.242166296,1.242166297,1.242166221,1.242166222,1.242166223,1.242166224,1.242166262
Italian Serie C,Carpi,FC Legnago,2025-04-14,15:30:00,34208182,1.242176963,1.242176972,1.242176967,1.242177011,1.242177008,1.242177012,1.242177009,1.242176971,1.242176969,1.242176962,1.242176960,1.242177047,1.242176964,1.242176970,1.242177007,1.242176966,1.242176968,1.242176961,1.242177013,1.242176973
Spanish Segunda Division,Huesca,Malaga,2025-04-14,15:30:00,34198593,1.242044716,1.242044726,1.242044721,1.242044765,1.242044762,1.242044766,1.242044763,1.242044725,1.242044723,1.242044715,1.242044712,1.242044801,1.242044718,1.242044724,1.242044761,1.242044720,1.242044722,1.242044713,1.242044767,1.242044727
Uruguayan Primera Division,Racing Club (Uru),Liverpool Montevideo,2025-04-14,15:30:00,34195375,1.241977464,1.241977473,1.241977468,1.241977512,1.241977509,1.241977513,1.241977510,1.241977472,1.241977470,1.241977463,1.241977461,1.241977548,1.241977465,1.241977471,1.241977508,1.241977467,1.241977469,1.241977462,1.241977514,1.241977474
Argentinian Primera C,CSD Muniz,CD Cambaceres,2025-04-14,15:30:00,34217058,1.242345598,1.242345607,1.242345602,1.242345646,1.242345643,1.242345647,1.242345644,1.242345606,1.242345604,1.242345597,1.242345595,1.242345682,1.242345599,1.242345605,1.242345642,1.242345601,1.242345603,1.242345596,1.242345648,1.242345608
Argentinian Primera C,CA Argentino de Rosario,CSR Espanol BA,2025-04-14,15:30:00,34217041,1.242345778,1.242345787,1.242345782,1.242345826,1.242345823,1.242345827,1.242345824,1.242345786,1.242345784,1.242345777,1.242345775,1.242345862,1.242345779,1.242345785,1.242345822,1.242345781,1.242345783,1.242345776,1.242345828,1.242345788
French Ligue 2,Bastia,Laval,2025-04-14,15:45:00,34198802,1.242049642,1.242049651,1.242049646,1.242049690,1.242049687,1.242049691,1.242049688,1.242049650,1.242049648,1.242049641,1.242049639,1.242049726,1.242049643,1.242049649,1.242049686,1.242049645,1.242049647,1.242049640,1.242049692,1.242049652
Italian Serie A,Napoli,Empoli,2025-04-14,15:45:00,34173973,1.241644247,1.241644256,1.241644252,1.241644234,1.241644231,1.241644295,1.241644232,1.241644255,1.241644254,1.241644245,1.241644243,1.241644246,1.241644249,1.241644228,1.241644227,1.241644251,1.241644253,1.241644244,1.241644296,1.241644258
Chilean Primera Division,Palestino,Union La Calera,2025-04-14,16:00:00,34198525,1.242043453,1.242043462,1.242043457,1.242043501,1.242043498,1.242043502,1.242043499,1.242043461,1.242043459,1.242043452,1.242043450,1.242043537,1.242043454,1.242043460,1.242043497,1.242043456,1.242043458,1.242043451,1.242043503,1.242043463
Colombian Primera B,Atletico FC Cali,Real Santander,2025-04-14,16:00:00,34200602,1.242082212,1.242082221,1.242082216,1.242082260,1.242082257,1.242082261,1.242082258,1.242082220,1.242082218,1.242082211,1.242082209,1.242082296,1.242082213,1.242082219,1.242082256,1.242082215,1.242082217,1.242082210,1.242082262,1.242082222
Ecuadorian Serie A,Mushuc Runa,LDU,2025-04-14,16:00:00,34198566,1.242044623,1.242044632,1.242044627,1.242044671,1.242044668,1.242044672,1.242044669,1.242044631,1.242044629,1.242044622,1.242044620,1.242044707,1.242044624,1.242044630,1.242044667,1.242044626,1.242044628,1.242044621,1.242044673,1.242044633
English Championship,Hull,Coventry,2025-04-14,16:00:00,34192583,1.241931642,1.241931651,1.241931646,1.241931656,1.241931652,1.241931585,1.241931653,1.241931650,1.241931648,1.241931635,1.241931637,1.241931640,1.241931626,1.241931649,1.241931654,1.241931645,1.241931647,1.241931638,1.241931587,1.241931547
English Premier League,Bournemouth,Fulham,2025-04-14,16:00:00,34186016,1.241833681,1.241833691,1.241833686,1.241833624,1.241833620,1.241833633,1.241833621,1.241833690,1.241833688,1.241833677,1.241833678,1.241833680,1.241833683,1.241833689,1.241833622,1.241833685,1.241833687,1.241833679,1.241833634,1.241833693
Irish Premier Division,Shamrock Rovers,Cork City,2025-04-14,16:00:00,34212192,1.242242222,1.242242231,1.242242226,1.242242270,1.242242267,1.242242271,1.242242268,1.242242230,1.242242228,1.242242221,1.242242219,1.242242306,1.242242223,1.242242229,1.242242266,1.242242225,1.242242227,1.242242220,1.242242272,1.242242232
Spanish La Liga,Atletico Madrid,Valladolid,2025-04-14,16:00:00,34173686,1.241639309,1.241639318,1.241639314,1.241639296,1.241639293,1.241639357,1.241639294,1.241639317,1.241639316,1.241639307,1.241639305,1.241639308,1.241639311,1.241639290,1.241639289,1.241639313,1.241639315,1.241639306,1.241639358,1.241639320
Icelandic Urvalsdeild,Stjarnan,IA Akranes,2025-04-14,16:15:00,34201076,1.242081672,1.242081681,1.242081676,1.242081720,1.242081717,1.242081721,1.242081718,1.242081680,1.242081678,1.242081671,1.242081669,1.242081756,1.242081673,1.242081679,1.242081716,1.242081675,1.242081677,1.242081670,1.242081722,1.242081682
Icelandic Urvalsdeild,KR Reykjavik,Valur,2025-04-14,16:15:00,34200340,1.242081762,1.242081771,1.242081766,1.242081810,1.242081807,1.242081811,1.242081808,1.242081770,1.242081768,1.242081761,1.242081759,1.242081846,1.242081763,1.242081769,1.242081806,1.242081765,1.242081767,1.242081760,1.242081812,1.242081772
Portuguese Segunda Liga,Mafra,Penafiel,2025-04-14,16:15:00,34199123,1.242051812,1.242051821,1.242051816,1.242051860,1.242051857,1.242051861,1.242051858,1.242051820,1.242051818,1.242051811,1.242051809,1.242051896,1.242051813,1.242051819,1.242051856,1.242051815,1.242051817,1.242051810,1.242051862,1.242051822
Argentinian Primera B Nacional,Colon,San Telmo,2025-04-14,18:00:00,34204133,1.242134042,1.242134051,1.242134046,1.242134090,1.242134087,1.242134091,1.242134088,1.242134050,1.242134048,1.242134041,1.242134039,1.242134126,1.242134043,1.242134049,1.242134086,1.242134045,1.242134047,1.242134040,1.242134092,1.242134052
Argentinian Primera Division,Central Cordoba (SdE),Huracan,2025-04-14,18:00:00,34178405,1.241715732,1.241715741,1.241715736,1.241715746,1.241715742,1.241715688,1.241715743,1.241715740,1.241715738,1.241715728,1.241715729,1.241715731,1.241715723,1.241715739,1.241715744,1.241715735,1.241715737,1.241715730,1.241715689,1.241715654
Colombian Primera B,Tigres FC Zipaquira,Boca Juniors de Cali,2025-04-14,18:00:00,34200713,1.242082122,1.242082131,1.242082126,1.242082170,1.242082167,1.242082171,1.242082168,1.242082130,1.242082128,1.242082121,1.242082119,1.242082206,1.242082123,1.242082129,1.242082166,1.242082125,1.242082127,1.242082120,1.242082172,1.242082132
Uruguayan Primera Division,Defensor Sporting,Cerro,2025-04-14,18:00:00,34195377,1.241977554,1.241977563,1.241977558,1.241977602,1.241977599,1.241977603,1.241977600,1.241977562,1.241977560,1.241977553,1.241977551,1.241977638,1.241977555,1.241977561,1.241977598,1.241977557,1.241977559,1.241977552,1.241977604,1.241977564
Paraguayan Segunda Divsion,Deportivo Carapegua,Club F de la Mora,2025-04-14,18:00:00,34217208,1.242347145,1.242347154,1.242347149,1.242347193,1.242347190,1.242347194,1.242347191,1.242347153,1.242347151,1.242347144,1.242347142,1.242347229,1.242347146,1.242347152,1.242347189,1.242347148,1.242347150,1.242347143,1.242347195,1.242347155
Bolivian Liga de Futbol Profesional,Nacional Potosi,Guabira,2025-04-14,18:30:00,34200372,1.242084014,1.242084023,1.242084018,1.242084062,1.242084059,1.242084063,1.242084060,1.242084022,1.242084020,1.242084013,1.242084011,1.242084098,1.242084015,1.242084021,1.242084058,1.242084017,1.242084019,1.242084012,1.242084064,1.242084024
